MAV,RMS,WL,ZCR,bp_d,bp_t,bp_a,bp_b,bp_30_80,bp_hi,specEnt,kurt,Signal,Start,End,Cluster
0.2502271484375,0.652281851509448,27.6116,0.109375,0.0302276715452073,0.00711458463035973,0.00139342720295332,0.00175512052259054,0.000956877574068455,0.000906329223138811,0.464742419920164,71.6398624022964,x1,1,512,1
0.0392208984375,0.0493468196876075,5.1466,0.16796875,0.000410365277695535,0.000173010742961966,0.000702404458526087,0.000432786294035865,3.90260026508106e-05,1.82208244965892e-05,0.579761432097343,3.20925630183926,x1,257,768,1
0.0370062499999999,0.0447426835848611,5.3125,0.17578125,0.000559708911455545,0.000594245032702375,0.000668341224664835,0.000418442125157766,3.35967887938293e-05,1.50519637667023e-05,0.576386359380407,2.54189169974261,x1,513,1024,1
0.0522693359375,0.0677363897480058,5.8801,0.140625,0.00163248039578735,0.00111273971028838,0.000644197796444009,0.000409844307417375,2.08550368990144e-05,6.56842787437685e-06,0.514432202622142,3.59300003957042,x1,769,1280,1
0.1133548828125,0.153666659005276,12.5329,0.12109375,0.00262795653249261,0.00909269776888316,0.00868608138688149,0.00390261104643633,0.000152573768687783,3.70281891116314e-05,0.61485208428859,4.08784090769983,x1,1025,1536,1
0.1532576171875,0.189686895025806,13.8103,0.1015625,0.0196471314318622,0.0144091698388622,0.00955421098645478,0.00365689996384041,0.000167319190892802,3.33225855695128e-05,0.569314482018551,2.68359419770855,x1,1281,1792,1
0.2175240234375,0.296955396186395,20.7075,0.09765625,0.0372487253480703,0.0178386333009037,0.0221105017130189,0.0168207838391743,0.000179212522281288,4.33972654730989e-05,0.555688484193622,5.52077834344593,x1,1537,2048,1
0.1956248046875,0.282775605017421,21.3955,0.1171875,0.0274817734746511,0.0141962073738064,0.0268531868503498,0.0204078655017954,0.000204455546613067,4.22893606237038e-05,0.559338752475523,6.55841150028485,x1,1793,2304,1
0.2451025390625,0.387882044756562,22.3934,0.109375,0.00766506035936409,0.0337748690503814,0.0128751454119674,0.00315939169818285,0.000405408244340951,9.90143712892912e-05,0.549359752285755,7.58077699063242,x1,2049,2560,1
0.4953935546875,0.63583631527636,43.2374,0.09765625,0.124001221716685,0.237145270461902,0.0311108981253848,0.0185291091196463,0.000627387095744248,0.000177490198969053,0.528047937662402,3.06615264310283,x1,2305,2816,1
0.4409091796875,0.570078015031852,38.3318,0.08984375,0.183996823354559,0.094649392208397,0.0646340749227042,0.0376579580376676,0.000640913725005987,9.74874948100051e-05,0.532729589126766,3.36839331062679,x1,2561,3072,1
0.3404544921875,0.477071672562644,24.0687,0.1015625,0.0554098110096966,0.0231759036533665,0.00404257890580754,0.00189807497481277,0.000431337596963561,4.58095162652822e-05,0.461203322013709,4.81983695636802,x1,2817,3328,1
0.326333203125,0.503493885731247,19.8609,0.08984375,0.164754503362861,0.179033579016439,0.00816678537131978,0.00239972219546595,0.000308737982414704,5.51358230266628e-05,0.414945070120004,6.0637006506352,x1,3073,3584,1
0.2048388671875,0.330542047811007,12.8742,0.0703125,0.0211558165844586,0.00362952182752173,0.00221867395843648,0.00099394937298016,9.42951464437291e-05,2.60132201099845e-05,0.448075568686253,13.1712749341629,x1,3329,3840,1
0.14787109375,0.190185379958608,11.4088,0.11328125,0.033262852761444,0.00721345874830281,0.00229814306242072,0.00106193161861405,0.000177599804945373,3.62434823826188e-05,0.418281748568279,2.87944008844467,x1,3585,4096,1
0.223762890625,0.367759194682387,33.1646,0.18359375,0.00776049107443975,0.00270941384693424,0.0262724498483167,0.0204820993179284,0.000567018844613296,9.54402812052304e-05,0.524413434385449,6.64665319966339,x1,3841,4352,1
0.537044726562501,0.709202072851398,93.6241999999999,0.20703125,0.00118674564232988,0.00163562850036679,0.32154117356866,0.201694463938321,0.0026352410174937,0.000316407586356467,0.316241731261451,2.48384248373902,x1,4097,4608,1
